기준연월,국제수지금액,인원수,1인당 관광수입
201907,1695.7,1448067.0,1171.0
201908,1767.6,1586299.0,1114.3
201909,1624.7,1459664.0,1113.1
201910,1745.3,1656195.0,1053.8
201911,1733.6,1456429.0,1190.3
201912,1835.8,1456888.0,1260.1
202001,1642.8,1272708.0,1290.8
202002,1442.0,685212.0,2104.5
202003,816.9,83497.0,9783.6
202004,536.3,29415.0,18232.2
202005,583.5,30806.0,18941.1
202006,594.8,36938.0,16102.7
202007,732.6,61012.0,12007.5
202008,783.3,68797.0,11385.7
202009,788.8,65040.0,12127.9
202010,752.2,61585.0,12214.0
202011,762.8,61764.0,12350.2
202012,745.1,62344.0,11951.4
202101,847.1,58397.0,14505.9
202102,683.8,65582.0,10426.6
202103,833.4,74604.0,11171.0
202104,886.8,70112.0,12648.3
202105,919.4,74463.0,12347.1
202106,776.6,77029.0,10081.9
202107,793.7,83005.0,9562.1
202108,902.6,97087.0,9296.8
202109,935.2,89800.0,10414.3
202110,875.8,92416.0,9476.7
202111,992.1,94358.0,10514.2
202112,835.6,90150.0,9269.0
202201,748.1,81851.0,9139.8
202202,785.9,99999.0,7859.1
202203,974.3,96768.0,10068.4
202204,864.3,127919.0,6756.6
202205,956.4,175922.0,5436.5
202206,978.8,227713.0,4298.4
