국가,방한 외래관광객,구성비,순위
중국,4152371,31.1,2
일본,2081307,15.6,3
미국,1137198,8.5,4
대만,820903,6.1,5
필리핀,550680,4.1,6
홍콩,458521,3.4,7
베트남,419107,3.1,8
태국,396083,3,9
러시아,299337,2.2,10
인도네시아,282522,2.1,11
말레이시아,280104,2.1,12
캐나다,197220,1.5,13
싱가포르,188087,1.4,14
미얀마,165951,1.2,15
인도,162816,1.2,16
호주,130552,1,17
독일,127214,1,18
영국,114668,0.9,19
프랑스,114228,0.9,20
몽골,97468,0.7,21
우즈베키스탄,85872,0.6,22
네덜란드,56007,0.4,23
카자흐스탄,53764,0.4,24
우크라이나,46102,0.3,25
이탈리아,42774,0.3,26
캄보디아,42575,0.3,27
마카오,38008,0.3,28
터키,35559,0.3,29
뉴질랜드,32559,0.2,30
네팔,32441,0.2,31
멕시코,28611,0.2,32
스페인,28102,0.2,33
폴란드,26037,0.2,34
스리랑카,23182,0.2,35
방글라데시,22750,0.2,36
브라질,20937,0.2,37
파키스탄,16446,0.1,38
스웨덴,16346,0.1,39
루마니아,15516,0.1,40
스위스,15214,0.1,41
핀란드,14993,0.1,42
벨기에,14657,0.1,43
그리스,13834,0.1,44
오스트리아,13283,0.1,45
이스라엘,13277,0.1,46
남아프리카공화국,12843,0.1,47
덴마크,12706,0.1,48
사우디아라비아,12387,0.1,49
에티오피아,12338,0.1,50
아랍에미리트,11505,0.1,51
포르투갈,11009,0.1,52
체코,10123,0.1,53
노르웨이,9909,0.1,54
라오스,9722,0.1,55
키르기스스탄,9517,0.1,56
아일랜드,9437,0.1,57
불가리아,8327,0.1,58
이집트,7961,0.1,59
크로아티아,7642,0.1,60
헝가리,7025,0.1,61
콜롬비아,6337,0,62
타지키스탄,5779,0,63
모로코,5485,0,64
칠레,4751,0,65
브루나이,4701,0,66
리비아,4641,0,67
아르헨티나,4440,0,68
이란,4182,0,69
세르비아,4030,0,70
페루,4021,0,71
요르단,3566,0,72
나이지리아,3438,0,73
이라크,3359,0,74
슬로바키아,3175,0,75
가나,3158,0,76
리투아니아,2934,0,77
시리아,2824,0,78
몬테네그로,2731,0,79
라트비아,2618,0,80
케냐,2478,0,81
쿠웨이트,2475,0,82
에콰도르,2327,0,83
튀니지,2311,0,84
벨라루스,2250,0,85
베네수엘라,2008,0,86
아제르바이잔,1957,0,87
동티모로,1910,0,88
그루지아,1873,0,89
카타르,1847,0,90
탄자니아,1515,0,91
알제리,1451,0,92
에스토니아,1415,0,93
레바논,1402,0,94
피지,1348,0,95
아프가니스탄,1331,0,96
슬로베니아,1324,0,97
코스타리카,1317,0,98
파나마,1167,0,99
오만,1126,0,100
자메이카,1106,0,101
도미니카 공화국,1076,0,102
수단,1043,0,103
예멘,985,0,104
룩셈부르크,973,0,105
우간다,964,0,106
온두라스,959,0,107
사이프러스,940,0,108
아이슬란드,902,0,109
카메룬,898,0,110
키리바시,883,0,111
모리셔스,846,0,112
과테말라,786,0,113
엘살바도르,782,0,114
볼리비아,714,0,115
바레인,695,0,116
파라과이,625,0,117
투르크메니스탄,615,0,118
르완다,612,0,119
마다가스카르,612,0,119
코트디부아르,582,0,121
세네갈,580,0,122
짐바브웨,570,0,123
콩고민주공화국,533,0,124
우르과이,511,0,125
몰도바,485,0,126
몰타,470,0,127
알바니아,452,0,128
모잠비크,444,0,129
보스니아ㆍ헤르체고비나,414,0,130
부탄,401,0,131
트리니다드ㆍ토바고,399,0,132
유고슬라비아,366,0,133
팔레스타인,353,0,134
아르메니아,336,0,135
아이티,307,0,136
앙골라,307,0,136
미크로네시아,288,0,138
잠비아,287,0,139
세인트 킷츠 네비스,277,0,140
파푸아뉴기니,277,0,140
니카라과,276,0,142
쿠바,275,0,143
라이베리아,270,0,144
말리,262,0,145
바누아투,260,0,146
팔라우,258,0,147
도미니카연방,258,0,147
몰디브,254,0,149
서사모아,234,0,150
기니,216,0,151
세인트 루치아,216,0,151
부룬디,212,0,153
보츠와나,209,0,154
말라위,186,0,155
토고,174,0,156
베냉,168,0,157
감비아,154,0,158
나미비아,143,0,159
부르키나 파소,141,0,160
가봉,141,0,160
바하마,133,0,162
바베이도스,128,0,163
세이셸,127,0,164
통가,108,0,165
가이아나,106,0,166
시에라리온,101,0,167
그레나다,101,0,167
솔로몬군도,99,0,169
마케도니아,97,0,170
콩고,96,0,171
코소보,95,0,172
스와질랜드,90,0,173
남수단공화국,76,0,174
앤티가 바부다,73,0,175
세인트 빈센트 그레나딘,73,0,175
수리남,69,0,177
나우루,60,0,178
벨리즈,59,0,179
마샬군도,59,0,179
레소토,55,0,181
모나코,54,0,182
니제르,53,0,183
투발루,52,0,184
안도라,48,0,185
적도 기니,48,0,185
중앙아프리카공화국,47,0,187
소말리아,45,0,188
차드,45,0,188
리히텐슈타인,40,0,190
카보베르데,39,0,191
모리타니,36,0,192
코모로,32,0,193
기니비사우,24,0,194
상투메 프린시페,18,0,195
에리트리아,17,0,196
지부티,16,0,197
산마리노,13,0,198
영국령 인도양지역,3,0,199
미국령 사모아,3,0,199
토켈라우,3,0,199
프랑스령 폴리네시아,2,0,202
영국령 버진군도,1,0,203
바티칸,1,0,203
뉴칼레도니아,1,0,203
