기준년월,방한 외래관광객
201907,1448067.0
201908,1586299.0
201909,1459664.0
201910,1656195.0
201911,1456429.0
201912,1456888.0
202001,1272708.0
202002,685212.0
202003,83497.0
202004,29415.0
202005,30806.0
202006,36938.0
202007,61012.0
202008,68797.0
202009,65040.0
202010,61585.0
202011,61764.0
202012,62344.0
202101,58397.0
202102,65582.0
202103,74604.0
202104,70112.0
202105,74463.0
202106,77029.0
202107,83005.0
202108,97087.0
202109,89800.0
202110,92416.0
202111,94358.0
202112,90150.0
202201,81851.0
202202,99999.0
202203,96768.0
202204,127919.0
202205,175922.0
202206,227713.0
