연월,관광,상용,공용,유학연수,기타,전체
201908,"1,251,764","14,575","6,388","71,128","242,444","1,586,299"
201909,"1,178,421","16,668","6,903","39,247","218,425","1,459,664"
201910,"1,403,576","16,070","6,944","17,414","212,191","1,656,195"
201911,"1,234,503","16,028","7,115","21,568","177,215","1,456,429"
201912,"1,247,337","13,287","6,332","22,536","167,396","1,456,888"
202001,"1,030,497","13,149","5,648","20,593","202,821","1,272,708"
202002,"503,976","6,957","3,499","42,065","128,715","685,212"
202003,"31,497","1,177",824,"14,209","35,790","83,497"
202004,"5,135",283,296,"7,150","16,551","29,415"
202005,"6,111",435,253,"2,192","21,815","30,806"
202006,"9,744",604,510,"1,860","24,220","36,938"
202007,"12,732",827,"1,298","1,511","44,644","61,012"
202008,"8,634","1,187","1,112","13,719","44,145","68,797"
202009,"10,619","1,066",815,"7,889","44,651","65,040"
202010,"11,119","1,265",681,"2,117","46,403","61,585"
202011,"11,514","1,387",864,"2,851","45,148","61,764"
202012,"11,893","1,172",771,"2,306","46,202","62,344"
202101,"9,035","1,547","1,036","2,046","44,733","58,397"
202102,"8,500","1,156",666,"13,164","42,096","65,582"
202103,"11,169","1,386",837,"9,011","52,201","74,604"
202104,"11,492","1,635",829,"3,324","52,832","70,112"
202105,"15,381","1,482","1,110","3,678","52,812","74,463"
202106,"17,847","1,586","1,423","2,771","53,402","77,029"
202107,"20,297","1,601","2,418","2,447","56,242","83,005"
202108,"18,452","2,059","2,741","22,161","51,674","97,087"
202109,"19,611","1,895","1,725","11,393","55,176","89,800"
202110,"25,698","2,397","2,193","2,702","59,426","92,416"
202111,"28,734","2,791","1,876","3,272","57,685","94,358"
202112,"25,630","1,755","1,831","4,115","56,819","90,150"
202201,"16,961","2,110","1,957","2,890","57,933","81,851"
202202,"16,512","2,135","1,222","25,444","54,686","99,999"
202203,"22,492","2,284","1,509","11,651","58,832","96,768"
202204,"57,448","3,259","1,960","3,126","62,126","127,919"
202205,"89,179","4,926","3,088","4,854","73,875","175,922"
202206,"133,883","6,674","2,662","7,215","77,279","227,713"
전체,"8,517,393","148,815","81,336","425,619","2,738,605","11,911,768"
