,20세 이하,,,21~30세,,,31~40세,,,41~50세,,,51~60세,,,61세이상,,,승무원,,,전체,,
,인원,전년동기,증감률,인원,전년동기,증감률,인원,전년동기,증감률,인원,전년동기,증감률,인원,전년동기,증감률,인원,전년동기,증감률,인원,전년동기,증감률,인원,전년동기,증감률
201908,"254,657","222,446",14.5,"388,519","345,341",12.5,"306,222","263,416",16.3,"237,245","217,090",9.3,"170,298","158,837",7.2,"119,538","105,903",12.9,"109,820","78,694",39.6,"1,586,299","1,391,727",14.0
201909,"101,350","95,226",6.4,"395,973","349,991",13.1,"334,089","276,077",21.0,"207,976","186,398",11.6,"187,687","169,029",11.0,"148,997","124,713",19.5,"83,592","77,170",8.3,"1,459,664","1,278,604",14.2
201910,"106,761","88,408",20.8,"419,644","370,551",13.2,"370,962","335,247",10.7,"242,953","235,556",3.1,"227,597","221,735",2.6,"194,028","187,773",3.3,"94,250","88,562",6.4,"1,656,195","1,527,832",8.4
201911,"92,141","85,020",8.4,"369,001","334,432",10.3,"336,528","297,766",13.0,"226,059","220,959",2.3,"199,121","193,478",2.9,"154,136","141,249",9.1,"79,443","77,486",2.5,"1,456,429","1,350,390",7.9
201912,"144,551","156,546",-7.7,"367,569","341,704",7.6,"336,164","280,609",19.8,"225,284","210,664",6.9,"175,466","159,376",10.1,"128,407","101,280",26.8,"79,447","73,940",7.4,"1,456,888","1,324,119",10.0
202001,"129,410","110,217",17.4,"306,931","275,925",11.2,"301,687","241,435",25.0,"194,055","169,018",14.8,"151,065","132,619",13.9,"110,240","96,329",14.4,"79,320","79,260",0.1,"1,272,708","1,104,803",15.2
202002,"44,270","116,934",-62.1,"209,971","331,472",-36.7,"140,960","263,174",-46.4,"101,673","182,963",-44.4,"84,460","144,830",-41.7,"51,418","93,040",-44.7,"52,460","69,389",-24.4,"685,212","1,201,802",-43.0
202003,"3,903","150,074",-97.4,"26,929","389,904",-93.1,"16,262","321,264",-94.9,"8,654","230,985",-96.3,"6,737","200,310",-96.6,"4,227","160,000",-97.4,"16,785","83,104",-79.8,"83,497","1,535,641",-94.6
202004,"3,589","124,359",-97.1,"7,749","371,597",-97.9,"3,749","365,298",-99.0,"2,195","251,225",-99.1,"1,755","223,030",-99.2,"1,152","201,065",-99.4,"9,226","98,492",-90.6,"29,415","1,635,066",-98.2
202005,"1,919","96,981",-98.0,"5,191","355,340",-98.5,"4,135","330,804",-98.8,"2,897","223,868",-98.7,"2,465","203,232",-98.8,"1,390","177,810",-99.2,"12,809","97,649",-86.9,"30,806","1,485,684",-97.9
