기준년월,지자체,방문자 구분,방문자수,전년도 방문자수,전년 대비 방문자수 증감률
201908,서울특별시,현지인방문자(a),1.23105528E8,1.39329488E8,-11.6
201908,서울특별시,외지인방문자(b),6.2843266E7,4.9125265E7,27.9
201908,서울특별시,외국인방문자(c),2419735.0,2054356.0,17.8
201908,서울특별시,외부방문자(b+c),6.5263001E7,5.1179621E7,27.5
201908,서울특별시,전체방문자(a+b+c),1.88368529E8,1.90509108E8,-1.1
201908,부산광역시,현지인방문자(a),3.8924067E7,4.0615936E7,-4.2
201908,부산광역시,외지인방문자(b),1.3473968E7,1.3347096E7,1.0
201908,부산광역시,외국인방문자(c),470346.0,383917.0,22.5
201908,부산광역시,외부방문자(b+c),1.3944314E7,1.3731013E7,1.6
201908,부산광역시,전체방문자(a+b+c),5.2868381E7,5.4346948E7,-2.7
201908,대구광역시,현지인방문자(a),3.4119792E7,3.4803276E7,-2.0
201908,대구광역시,외지인방문자(b),9090120.0,8688326.0,4.6
201908,대구광역시,외국인방문자(c),86969.0,76239.0,14.1
201908,대구광역시,외부방문자(b+c),9177088.0,8764566.0,4.7
201908,대구광역시,전체방문자(a+b+c),4.329688E7,4.3567841E7,-0.6
201908,인천광역시,현지인방문자(a),3.0752302E7,3.1569951E7,-2.6
201908,인천광역시,외지인방문자(b),1.7910624E7,1.2911325E7,38.7
201908,인천광역시,외국인방문자(c),775568.0,558238.0,38.9
201908,인천광역시,외부방문자(b+c),1.8686191E7,1.3469563E7,38.7
201908,인천광역시,전체방문자(a+b+c),4.9438493E7,4.5039514E7,9.8
201908,광주광역시,현지인방문자(a),2.090873E7,2.1934472E7,-4.7
201908,광주광역시,외지인방문자(b),5643456.0,5380540.0,4.9
201908,광주광역시,외국인방문자(c),63378.0,29601.0,114.1
201908,광주광역시,외부방문자(b+c),5706834.0,5410141.0,5.5
201908,광주광역시,전체방문자(a+b+c),2.6615565E7,2.7344613E7,-2.7
201908,대전광역시,현지인방문자(a),2.0723434E7,2.1319662E7,-2.8
201908,대전광역시,외지인방문자(b),6958024.0,6906742.0,0.7
201908,대전광역시,외국인방문자(c),59545.0,52609.0,13.2
201908,대전광역시,외부방문자(b+c),7017569.0,6959352.0,0.8
201908,대전광역시,전체방문자(a+b+c),2.7741003E7,2.8279014E7,-1.9
201908,울산광역시,현지인방문자(a),1.4319613E7,1.4647143E7,-2.2
201908,울산광역시,외지인방문자(b),4261764.0,4090653.0,4.2
201908,울산광역시,외국인방문자(c),94963.0,66156.0,43.5
201908,울산광역시,외부방문자(b+c),4356728.0,4156809.0,4.8
201908,울산광역시,전체방문자(a+b+c),1.8676341E7,1.8803952E7,-0.7
201908,세종특별자치시,현지인방문자(a),3477162.0,3067869.0,13.3
201908,세종특별자치시,외지인방문자(b),2099206.0,1838571.0,14.2
201908,세종특별자치시,외국인방문자(c),11926.0,9329.0,27.8
201908,세종특별자치시,외부방문자(b+c),2111132.0,1847900.0,14.2
201908,세종특별자치시,전체방문자(a+b+c),5588294.0,4915769.0,13.7
201908,경기도,현지인방문자(a),1.50430602E8,1.56111764E8,-3.6
201908,경기도,외지인방문자(b),6.8402618E7,5.0964739E7,34.2
201908,경기도,외국인방문자(c),782599.0,642457.0,21.8
201908,경기도,외부방문자(b+c),6.9185217E7,5.1607196E7,34.1
201908,경기도,전체방문자(a+b+c),2.19615819E8,2.0771896E8,5.7
201908,강원도,현지인방문자(a),2.3980362E7,2.5369326E7,-5.5
201908,강원도,외지인방문자(b),2.000221E7,1.6743716E7,19.5
201908,강원도,외국인방문자(c),126678.0,103722.0,22.1
201908,강원도,외부방문자(b+c),2.0128888E7,1.6847438E7,19.5
201908,강원도,전체방문자(a+b+c),4.410925E7,4.2216765E7,4.5
201908,충청북도,현지인방문자(a),2.140208E7,2.1286052E7,0.5
201908,충청북도,외지인방문자(b),9953058.0,9401707.0,5.9
201908,충청북도,외국인방문자(c),74344.0,62469.0,19.0
201908,충청북도,외부방문자(b+c),1.0027402E7,9464176.0,6.0
201908,충청북도,전체방문자(a+b+c),3.1429482E7,3.0750227E7,2.2
201908,충청남도,현지인방문자(a),2.7532278E7,2.7472928E7,0.2
201908,충청남도,외지인방문자(b),1.4571708E7,1.3492514E7,8.0
201908,충청남도,외국인방문자(c),148615.0,116067.0,28.0
201908,충청남도,외부방문자(b+c),1.4720323E7,1.3608581E7,8.2
201908,충청남도,전체방문자(a+b+c),4.22526E7,4.1081509E7,2.9
201908,전라북도,현지인방문자(a),2.5752822E7,2.6496614E7,-2.8
201908,전라북도,외지인방문자(b),9107000.0,8352026.0,9.0
201908,전라북도,외국인방문자(c),81031.0,61717.0,31.3
201908,전라북도,외부방문자(b+c),9188031.0,8413742.0,9.2
201908,전라북도,전체방문자(a+b+c),3.4940852E7,3.4910356E7,0.1
201908,전라남도,현지인방문자(a),2.3425076E7,2.3679355E7,-1.1
201908,전라남도,외지인방문자(b),1.1713205E7,1.056635E7,10.9
201908,전라남도,외국인방문자(c),204374.0,144403.0,41.5
201908,전라남도,외부방문자(b+c),1.1917579E7,1.0710753E7,11.3
201908,전라남도,전체방문자(a+b+c),3.5342656E7,3.4390108E7,2.8
201908,경상북도,현지인방문자(a),3.8172068E7,3.8311626E7,-0.4
201908,경상북도,외지인방문자(b),1.6981832E7,1.5543378E7,9.3
201908,경상북도,외국인방문자(c),160126.0,122354.0,30.9
201908,경상북도,외부방문자(b+c),1.7141958E7,1.5665731E7,9.4
201908,경상북도,전체방문자(a+b+c),5.5314025E7,5.3977358E7,2.5
201908,경상남도,현지인방문자(a),4.262537E7,4.2983294E7,-0.8
201908,경상남도,외지인방문자(b),1.4681723E7,1.3763376E7,6.7
201908,경상남도,외국인방문자(c),195853.0,145048.0,35.0
201908,경상남도,외부방문자(b+c),1.4877576E7,1.3908424E7,7.0
201908,경상남도,전체방문자(a+b+c),5.7502946E7,5.6891717E7,1.1
201908,제주특별자치도,현지인방문자(a),1.3595936E7,1.4069982E7,-3.4
201908,제주특별자치도,외지인방문자(b),5349022.0,5145578.0,4.0
201908,제주특별자치도,외국인방문자(c),615201.0,466492.0,31.9
201908,제주특별자치도,외부방문자(b+c),5964223.0,5612069.0,6.3
201908,제주특별자치도,전체방문자(a+b+c),1.9560159E7,1.9682052E7,-0.6
201909,서울특별시,현지인방문자(a),1.19529291E8,1.3283157E8,-10.0
201909,서울특별시,외지인방문자(b),5.7545747E7,5.1961686E7,10.7
201909,서울특별시,외국인방문자(c),2375600.0,2018104.0,17.7
201909,서울특별시,외부방문자(b+c),5.9921347E7,5.397979E7,11.0
201909,서울특별시,전체방문자(a+b+c),1.79450638E8,1.86811359E8,-3.9
201909,부산광역시,현지인방문자(a),3.934363E7,3.930472E7,0.1
201909,부산광역시,외지인방문자(b),1.33649E7,1.3931208E7,-4.1
201909,부산광역시,외국인방문자(c),468581.0,383191.0,22.3
201909,부산광역시,외부방문자(b+c),1.3833482E7,1.4314398E7,-3.4
201909,부산광역시,전체방문자(a+b+c),5.3177111E7,5.3619118E7,-0.8
201909,대구광역시,현지인방문자(a),3.4168578E7,3.3951404E7,0.6
201909,대구광역시,외지인방문자(b),9768518.0,1.0041927E7,-2.7
201909,대구광역시,외국인방문자(c),91667.0,67462.0,35.9
201909,대구광역시,외부방문자(b+c),9860185.0,1.0109389E7,-2.5
201909,대구광역시,전체방문자(a+b+c),4.4028763E7,4.4060792E7,-0.1
201909,인천광역시,현지인방문자(a),2.9870414E7,3.3135417E7,-9.9
201909,인천광역시,외지인방문자(b),1.6123726E7,1.5653078E7,3.0
201909,인천광역시,외국인방문자(c),776906.0,651976.0,19.2
201909,인천광역시,외부방문자(b+c),1.6900632E7,1.6305054E7,3.7
201909,인천광역시,전체방문자(a+b+c),4.6771046E7,4.9440471E7,-5.4
201909,광주광역시,현지인방문자(a),2.0596838E7,2.1897057E7,-5.9
201909,광주광역시,외지인방문자(b),6043698.0,6227970.0,-3.0
201909,광주광역시,외국인방문자(c),43203.0,41205.0,4.8
