기준년월,지자체,티맵카테고리중분류명,검색건수,전년동기검색건수,구성비,전년대비검색증감률
201908,서울특별시,전체,4453448,3318427,100.0,34.2
201908,서울특별시,자연관광,31234,22923,0.7,36.3
201908,서울특별시,역사관광,100120,68006,2.2,47.2
201908,서울특별시,체험관광,2514,2122,0.1,18.5
201908,서울특별시,문화관광,1039364,799079,23.3,30.1
201908,서울특별시,레저스포츠,50484,27768,1.1,81.8
201908,서울특별시,쇼핑,681484,519242,15.3,31.2
201908,서울특별시,음식,1766474,1304222,39.7,35.4
201908,서울특별시,숙박,637442,473184,14.3,34.7
201908,서울특별시,기타관광,144332,101881,3.2,41.7
201908,부산광역시,전체,1642227,1143909,100.0,43.6
201908,부산광역시,자연관광,178142,130788,10.8,36.2
201908,부산광역시,역사관광,57547,45775,3.5,25.7
201908,부산광역시,체험관광,8941,6244,0.5,43.2
201908,부산광역시,문화관광,216843,168642,13.2,28.6
201908,부산광역시,레저스포츠,38900,26437,2.4,47.1
201908,부산광역시,쇼핑,190530,120706,11.6,57.8
201908,부산광역시,음식,610550,401833,37.2,51.9
201908,부산광역시,숙박,226340,154322,13.8,46.7
201908,부산광역시,기타관광,114434,89162,7.0,28.3
201908,대구광역시,전체,655164,424510,100.0,54.3
201908,대구광역시,자연관광,17507,13665,2.7,28.1
201908,대구광역시,역사관광,11469,7042,1.8,62.9
201908,대구광역시,체험관광,7297,5666,1.1,28.8
201908,대구광역시,문화관광,124048,89634,18.9,38.4
201908,대구광역시,레저스포츠,9257,6521,1.4,42.0
201908,대구광역시,쇼핑,79828,51914,12.2,53.8
201908,대구광역시,음식,334606,205571,51.1,62.8
201908,대구광역시,숙박,54136,32759,8.3,65.3
201908,대구광역시,기타관광,17016,11738,2.6,45.0
201908,인천광역시,전체,2188106,1407830,100.0,55.4
201908,인천광역시,자연관광,259247,162522,11.8,59.5
201908,인천광역시,역사관광,35202,22007,1.6,60.0
201908,인천광역시,체험관광,13242,5198,0.6,154.8
201908,인천광역시,문화관광,252690,178915,11.5,41.2
201908,인천광역시,레저스포츠,89310,60114,4.1,48.6
201908,인천광역시,쇼핑,249245,183051,11.4,36.2
201908,인천광역시,음식,662267,415721,30.3,59.3
201908,인천광역시,숙박,214733,146728,9.8,46.3
201908,인천광역시,기타관광,412170,233574,18.8,76.5
201908,광주광역시,전체,396489,269413,100.0,47.2
201908,광주광역시,자연관광,3576,2430,0.9,47.2
201908,광주광역시,역사관광,3682,2284,0.9,61.2
201908,광주광역시,체험관광,7,13,0.0,-46.2
201908,광주광역시,문화관광,70910,53378,17.9,32.8
201908,광주광역시,레저스포츠,5376,3807,1.4,41.2
201908,광주광역시,쇼핑,38534,29615,9.7,30.1
201908,광주광역시,음식,229208,148313,57.8,54.5
201908,광주광역시,숙박,34227,21748,8.6,57.4
201908,광주광역시,기타관광,10969,7825,2.8,40.2
201908,대전광역시,전체,473413,325810,100.0,45.3
201908,대전광역시,자연관광,15787,11613,3.3,35.9
201908,대전광역시,역사관광,3248,1810,0.7,79.4
201908,대전광역시,체험관광,147,44,0.0,234.1
201908,대전광역시,문화관광,86935,67355,18.4,29.1
201908,대전광역시,레저스포츠,9021,5239,1.9,72.2
