국가,방한 외래관광객,연월
미국,55444,202206
태국,16822,202206
필리핀,15139,202206
베트남,12884,202206
중국,12741,202206
싱가포르,10462,202206
인도네시아,8265,202206
캐나다,7231,202206
일본,5855,202206
미얀마,5275,202206
인도,5160,202206
독일,5000,202206
카자흐스탄,4732,202206
러시아,4400,202206
프랑스,4191,202206
호주,4147,202206
몽골,3864,202206
영국,3495,202206
말레이시아,3415,202206
네팔,3197,202206
우즈베키스탄,3152,202206
네덜란드,2011,202206
캄보디아,1667,202206
터키,1594,202206
스리랑카,1438,202206
이탈리아,1339,202206
방글라데시,1213,202206
우크라이나,1096,202206
대만,1008,202206
폴란드,1001,202206
뉴질랜드,967,202206
스페인,901,202206
스웨덴,785,202206
파키스탄,725,202206
브라질,716,202206
홍콩,662,202206
벨기에,563,202206
스위스,552,202206
사우디아라비아,552,202206
멕시코,549,202206
핀란드,505,202206
노르웨이,472,202206
덴마크,453,202206
이스라엘,444,202206
키르기스스탄,442,202206
오스트리아,437,202206
루마니아,425,202206
그리스,405,202206
에티오피아,400,202206
아랍에미리트,392,202206
아일랜드,356,202206
이집트,335,202206
포르투갈,307,202206
남아프리카공화국,307,202206
불가리아,285,202206
헝가리,265,202206
체코,228,202206
콜롬비아,202,202206
모로코,194,202206
이란,190,202206
요르단,166,202206
타지키스탄,165,202206
칠레,161,202206
리투아니아,147,202206
크로아티아,146,202206
시리아,140,202206
슬로바키아,133,202206
아르헨티나,119,202206
동티모로,118,202206
라오스,109,202206
이라크,104,202206
아제르바이잔,102,202206
라트비아,100,202206
그루지아,96,202206
튀니지,94,202206
케냐,89,202206
세르비아,88,202206
나이지리아,84,202206
카타르,83,202206
쿠웨이트,78,202206
가나,77,202206
페루,71,202206
레바논,71,202206
리비아,67,202206
예멘,64,202206
파라과이,62,202206
오만,51,202206
몬테네그로,48,202206
에콰도르,46,202206
에스토니아,42,202206
코스타리카,41,202206
탄자니아,40,202206
베네수엘라,39,202206
슬로베니아,39,202206
룩셈부르크,37,202206
코트디부아르,34,202206
아프가니스탄,34,202206
벨라루스,33,202206
피지,33,202206
알제리,32,202206
사이프러스,31,202206
바레인,31,202206
브루나이,29,202206
자메이카,24,202206
세네갈,24,202206
수단,24,202206
엘살바도르,20,202206
파나마,19,202206
모잠비크,19,202206
팔레스타인,18,202206
도미니카 공화국,18,202206
우간다,17,202206
모리셔스,17,202206
과테말라,16,202206
짐바브웨,16,202206
몰타,15,202206
몰도바,14,202206
아이슬란드,13,202206
세인트 킷츠 네비스,13,202206
카메룬,13,202206
라이베리아,12,202206
르완다,12,202206
말리,11,202206
도미니카연방,11,202206
부탄,11,202206
알바니아,11,202206
온두라스,10,202206
트리니다드ㆍ토바고,9,202206
잠비아,9,202206
