기준연월,지역명,검색량(건),방문자 수
201908,제주특별자치도 서귀포시 ,43178,9577446
201909,제주특별자치도 서귀포시 ,36207,7704418
201910,제주특별자치도 서귀포시 ,70878,9006579
201911,제주특별자치도 서귀포시 ,59306,8163441
201912,제주특별자치도 서귀포시 ,39172,8222113
202001,제주특별자치도 서귀포시 ,40693,7999171
202002,제주특별자치도 서귀포시 ,25366,5247790
202003,제주특별자치도 서귀포시 ,14288,5036933
202004,제주특별자치도 서귀포시 ,10644,4709300
202005,제주특별자치도 서귀포시 ,9673,6123526
202006,제주특별자치도 서귀포시 ,10741,6199792
202007,제주특별자치도 서귀포시 ,15142,7452271
202008,제주특별자치도 서귀포시 ,15373,8791472
202009,제주특별자치도 서귀포시 ,13663,6957095
202010,제주특별자치도 서귀포시 ,12280,7581540
202011,제주특별자치도 서귀포시 ,14423,6318789
202012,제주특별자치도 서귀포시 ,19463,6446314
202101,제주특별자치도 서귀포시 ,10785,7031880
202102,제주특별자치도 서귀포시 ,10252,7960066
202103,제주특별자치도 서귀포시 ,14175,8772435
202104,제주특별자치도 서귀포시 ,13851,8602373
202105,제주특별자치도 서귀포시 ,15240,7520868
202106,제주특별자치도 서귀포시 ,15827,6853041
202107,제주특별자치도 서귀포시 ,17874,8913746
202108,제주특별자치도 서귀포시 ,15532,8713500
202109,제주특별자치도 서귀포시 ,13997,9976402
202110,제주특별자치도 서귀포시 ,15155,7810671
202111,제주특별자치도 서귀포시 ,15151,9568434
202112,제주특별자치도 서귀포시 ,17284,8925061
202201,제주특별자치도 서귀포시 ,30505,9990282
202202,제주특별자치도 서귀포시 ,22526,8557655
202203,제주특별자치도 서귀포시 ,24569,8189387
202204,제주특별자치도 서귀포시 ,25128,9470865
202205,제주특별자치도 서귀포시 ,27605,9338782
202206,제주특별자치도 서귀포시 ,29806,9517926
202207,제주특별자치도 서귀포시 ,36181,12200314
