기준년월,광역지자체,중분류,,지출액,전년도 지출액
202108,부산광역시,총소비,0000,4563585.0,3499600.0
202108,부산광역시,호텔,1001,764541.0,431059.0
202108,부산광역시,콘도,1002,1449.0,1965.0
202108,부산광역시,캠핑장/펜션,1003,116.0,0.0
202108,부산광역시,기타숙박,1004,473122.0,345073.0
202108,부산광역시,여행업,2001,44.0,2420.0
202108,부산광역시,육상운송,3001,11582.0,200.0
202108,부산광역시,수상운송,3002,22.0,22.0
202108,부산광역시,항공운송,3003,223.0,150.0
202108,부산광역시,렌터카,3004,6239.0,5149.0
202108,부산광역시,면세점,4001,50803.0,50399.0
202108,부산광역시,관광기념품,4002,2685.0,1953.0
202108,부산광역시,레저용품쇼핑,4003,35704.0,44812.0
202108,부산광역시,대형쇼핑몰,4004,2506789.0,1846886.0
202108,부산광역시,카지노,5001,45850.0,39950.0
202108,부산광역시,관광유원시설,5002,18225.0,13284.0
202108,부산광역시,골프장,5003,16563.0,10689.0
202108,부산광역시,기타레저,5005,0.0,56.0
202108,부산광역시,문화서비스,5006,2135.0,1506.0
202108,부산광역시,식음료,6001,627492.0,704027.0
202109,부산광역시,총소비,0000,4851504.0,3210611.0
202109,부산광역시,호텔,1001,672727.0,393142.0
202109,부산광역시,콘도,1002,386.0,340.0
202109,부산광역시,캠핑장/펜션,1003,6.0,0.0
202109,부산광역시,기타숙박,1004,327010.0,365364.0
202109,부산광역시,여행업,2001,905.0,0.0
202109,부산광역시,육상운송,3001,1611.0,0.0
202109,부산광역시,수상운송,3002,103.0,119.0
202109,부산광역시,항공운송,3003,807.0,242.0
202109,부산광역시,렌터카,3004,15946.0,8091.0
202109,부산광역시,면세점,4001,21480.0,24010.0
202109,부산광역시,관광기념품,4002,10379.0,3441.0
202109,부산광역시,레저용품쇼핑,4003,40491.0,29126.0
202109,부산광역시,대형쇼핑몰,4004,2837977.0,1774435.0
202109,부산광역시,카지노,5001,23000.0,15800.0
202109,부산광역시,관광유원시설,5002,31184.0,6222.0
202109,부산광역시,골프장,5003,21490.0,17731.0
202109,부산광역시,기타레저,5005,80.0,0.0
202109,부산광역시,문화서비스,5006,3494.0,1018.0
202109,부산광역시,식음료,6001,842425.0,571532.0
202110,부산광역시,총소비,0000,6246387.0,4025880.0
202110,부산광역시,호텔,1001,1062399.0,501604.0
202110,부산광역시,콘도,1002,412.0,312.0
202110,부산광역시,캠핑장/펜션,1003,0.0,11.0
202110,부산광역시,기타숙박,1004,412090.0,285283.0
202110,부산광역시,여행업,2001,70.0,0.0
202110,부산광역시,육상운송,3001,5808.0,225.0
202110,부산광역시,수상운송,3002,55.0,44.0
202110,부산광역시,항공운송,3003,985.0,547.0
202110,부산광역시,렌터카,3004,18845.0,4803.0
202110,부산광역시,면세점,4001,36381.0,12309.0
202110,부산광역시,관광기념품,4002,6979.0,3296.0
202110,부산광역시,레저용품쇼핑,4003,48034.0,40812.0
202110,부산광역시,대형쇼핑몰,4004,3543952.0,2305111.0
202110,부산광역시,카지노,5001,32600.0,11100.0
202110,부산광역시,관광유원시설,5002,27246.0,20605.0
202110,부산광역시,골프장,5003,31220.0,34754.0
202110,부산광역시,기타레저,5005,48.0,100.0
202110,부산광역시,문화서비스,5006,3465.0,1663.0
202110,부산광역시,식음료,6001,1015798.0,803303.0
202111,부산광역시,총소비,0000,5788493.0,3905251.0
202111,부산광역시,호텔,1001,880522.0,486765.0
202111,부산광역시,콘도,1002,486.0,330.0
202111,부산광역시,캠핑장/펜션,1003,12.0,0.0
202111,부산광역시,기타숙박,1004,358510.0,244728.0
202111,부산광역시,여행업,2001,0.0,55.0
202111,부산광역시,육상운송,3001,535.0,312.0
202111,부산광역시,수상운송,3002,11.0,110.0
202111,부산광역시,항공운송,3003,312.0,642.0
202111,부산광역시,렌터카,3004,22559.0,6001.0
202111,부산광역시,면세점,4001,23436.0,45895.0
202111,부산광역시,관광기념품,4002,9632.0,5721.0
202111,부산광역시,레저용품쇼핑,4003,31612.0,33745.0
202111,부산광역시,대형쇼핑몰,4004,3275400.0,2256009.0
202111,부산광역시,카지노,5001,47100.0,34800.0
202111,부산광역시,관광유원시설,5002,31832.0,16381.0
202111,부산광역시,골프장,5003,20958.0,27264.0
202111,부산광역시,기타레저,5005,64.0,112.0
202111,부산광역시,문화서비스,5006,2924.0,1401.0
202111,부산광역시,식음료,6001,1082590.0,744980.0
202112,부산광역시,총소비,0000,6064566.0,3325660.0
202112,부산광역시,호텔,1001,603578.0,303246.0
202112,부산광역시,콘도,1002,341.0,304.0
202112,부산광역시,캠핑장/펜션,1003,80.0,0.0
