대분류,중분류,대분류 지출액,대분류 지출액 비율,중분류 지출액,중분류 지출액 비율
쇼핑업,관광기념품,4.3551448E7,54.3,148062.0,0.3
쇼핑업,대형쇼핑몰,4.3551448E7,54.3,4.2183612E7,96.9
쇼핑업,레저용품쇼핑,4.3551448E7,54.3,618361.0,1.4
쇼핑업,면세점,4.3551448E7,54.3,601413.0,1.4
숙박업,기타숙박,1.9215204E7,24.0,6017003.0,31.3
숙박업,캠핑장/펜션,1.9215204E7,24.0,701.0,0.0
숙박업,콘도,1.9215204E7,24.0,4920.0,0.0
숙박업,호텔,1.9215204E7,24.0,1.319258E7,68.7
식음료업,식음료,1.4579444E7,18.2,1.4579444E7,100.0
여가서비스업,골프장,2630547.0,3.3,272529.0,10.4
여가서비스업,관광유원시설,2630547.0,3.3,639401.0,24.3
여가서비스업,기타레저,2630547.0,3.3,611.0,0.0
여가서비스업,문화서비스,2630547.0,3.3,62148.0,2.4
여가서비스업,카지노,2630547.0,3.3,1655857.0,62.9
여행업,여행업,14780.0,0.0,14780.0,100.0
운송업,렌터카,206293.0,0.3,144574.0,70.1
운송업,수상운송,206293.0,0.3,3494.0,1.7
운송업,육상운송,206293.0,0.3,31432.0,15.2
운송업,항공운송,206293.0,0.3,26794.0,13.0
