,기준년월,광역지자체,방문자 구분,방문자 수,전년도 방문자 수
0,202201,부산광역시,현지인방문자(a),41356721.0,37408774.0
1,202201,부산광역시,외지인방문자(b),11368994.0,8749570.0
2,202201,부산광역시,외국인방문자(c),71105.0,43585.0
3,202201,부산광역시,외부방문자(b+c),11440099.0,8793154.0
4,202201,부산광역시,전체방문자(a+b+c),52796820.0,46201928.0
5,202202,부산광역시,현지인방문자(a),37274450.0,35559986.0
6,202202,부산광역시,외지인방문자(b),9877186.0,10115679.0
7,202202,부산광역시,외국인방문자(c),62308.0,38678.0
8,202202,부산광역시,외부방문자(b+c),9939494.0,10154357.0
9,202202,부산광역시,전체방문자(a+b+c),47213944.0,45714343.0
10,202203,부산광역시,현지인방문자(a),44040188.0,41547457.0
11,202203,부산광역시,외지인방문자(b),11363376.0,11716691.0
12,202203,부산광역시,외국인방문자(c),76163.0,43664.0
13,202203,부산광역시,외부방문자(b+c),11439539.0,11760355.0
14,202203,부산광역시,전체방문자(a+b+c),55479728.0,53307812.0
15,202204,부산광역시,현지인방문자(a),43258005.0,38944185.0
16,202204,부산광역시,외지인방문자(b),10067470.0,9099500.0
17,202204,부산광역시,외국인방문자(c),94624.0,51151.0
18,202204,부산광역시,외부방문자(b+c),10162094.0,9150650.0
19,202204,부산광역시,전체방문자(a+b+c),53420099.0,48094835.0
20,202205,부산광역시,현지인방문자(a),48263744.0,42668028.0
21,202205,부산광역시,외지인방문자(b),11842218.0,10615448.0
22,202205,부산광역시,외국인방문자(c),105662.0,52280.0
23,202205,부산광역시,외부방문자(b+c),11947880.0,10667727.0
24,202205,부산광역시,전체방문자(a+b+c),60211624.0,53335755.0
25,202206,부산광역시,현지인방문자(a),47426662.0,42204144.0
26,202206,부산광역시,외지인방문자(b),11178738.0,9893394.0
27,202206,부산광역시,외국인방문자(c),107633.0,55394.0
28,202206,부산광역시,외부방문자(b+c),11286370.0,9948788.0
29,202206,부산광역시,전체방문자(a+b+c),58713033.0,52152933.0
30,202207,부산광역시,현지인방문자(a),48405290.0,42190264.0
31,202207,부산광역시,외지인방문자(b),12475754.0,10355972.0
32,202207,부산광역시,외국인방문자(c),129435.0,59897.0
33,202207,부산광역시,외부방문자(b+c),12605189.0,10415868.0
34,202207,부산광역시,전체방문자(a+b+c),61010479.0,52606132.0
0,202101,부산광역시,현지인방문자(a),37408774.0,40188092.0
1,202101,부산광역시,외지인방문자(b),8749570.0,13512740.0
2,202101,부산광역시,외국인방문자(c),43585.0,147340.0
3,202101,부산광역시,외부방문자(b+c),8793154.0,13660081.0
4,202101,부산광역시,전체방문자(a+b+c),46201928.0,53848173.0
5,202102,부산광역시,현지인방문자(a),35559986.0,37560758.0
6,202102,부산광역시,외지인방문자(b),10115679.0,9479306.0
7,202102,부산광역시,외국인방문자(c),38678.0,96265.0
8,202102,부산광역시,외부방문자(b+c),10154357.0,9575570.0
