,국가명,국가별 방문자 수,국가별 방문자 비율,연도
0,호주,6485.0,1.0,2022
1,캐나다,9720.0,1.5,2022
2,중국,67095.0,10.4,2022
3,대만,2558.0,0.4,2022
4,프랑스,9060.0,1.4,2022
5,독일,7862.0,1.2,2022
6,홍콩,13823.0,2.1,2022
7,인도,2055.0,0.3,2022
8,인도네시아,17678.0,2.7,2022
9,일본,32244.0,5.0,2022
10,카자흐스탄,577.0,0.1,2022
11,말레이시아,3511.0,0.5,2022
12,몽골,129.0,0.0,2022
13,필리핀,21974.0,3.4,2022
14,러시아,32753.0,5.1,2022
15,싱가포르,7826.0,1.2,2022
16,베트남,11032.0,1.7,2022
17,태국,49929.0,7.7,2022
18,터키,2003.0,0.3,2022
19,영국,12705.0,2.0,2022
20,미국,129411.0,20.0,2022
21,기타,206501.0,31.9,2022
0,호주,3219.0,0.4,2021
1,캐나다,9347.0,1.3,2021
2,중국,102492.0,14.0,2021
3,대만,5196.0,0.7,2021
4,프랑스,4935.0,0.7,2021
5,독일,9498.0,1.3,2021
6,홍콩,19685.0,2.7,2021
7,인도,2049.0,0.3,2021
8,인도네시아,15123.0,2.1,2021
9,일본,30238.0,4.1,2021
10,카자흐스탄,593.0,0.1,2021
11,말레이시아,3048.0,0.4,2021
12,몽골,26.0,0.0,2021
13,필리핀,23970.0,3.3,2021
14,러시아,42579.0,5.8,2021
15,싱가포르,2828.0,0.4,2021
16,베트남,7172.0,1.0,2021
17,태국,72302.0,9.9,2021
18,터키,1293.0,0.2,2021
19,영국,14957.0,2.0,2021
20,미국,195283.0,26.6,2021
21,기타,167271.0,22.8,2021
0,호주,7963.0,1.3,2020
1,캐나다,7865.0,1.2,2020
2,중국,84806.0,13.5,2020
3,대만,39967.0,6.3,2020
4,프랑스,3069.0,0.5,2020
5,독일,4483.0,0.7,2020
6,홍콩,38156.0,6.1,2020
7,인도,2224.0,0.4,2020
8,인도네시아,14812.0,2.4,2020
9,일본,74800.0,11.9,2020
10,카자흐스탄,532.0,0.1,2020
11,말레이시아,7307.0,1.2,2020
12,몽골,10.0,0.0,2020
13,필리핀,21597.0,3.4,2020
14,러시아,35052.0,5.6,2020
15,싱가포르,5007.0,0.8,2020
16,베트남,10492.0,1.7,2020
17,태국,59789.0,9.5,2020
18,터키,1151.0,0.2,2020
19,영국,6430.0,1.0,2020
20,미국,131096.0,20.8,2020
21,기타,73465.0,11.7,2020
0,호주,74276.0,1.4,2019
1,캐나다,38182.0,0.7,2019
2,중국,762022.0,14.4,2019
3,대만,582370.0,11.0,2019
4,프랑스,27664.0,0.5,2019
5,독일,18012.0,0.3,2019
6,홍콩,702512.0,13.3,2019
7,인도,30204.0,0.6,2019
8,인도네시아,137697.0,2.6,2019
9,일본,823694.0,15.6,2019
10,카자흐스탄,25464.0,0.5,2019
11,말레이시아,128860.0,2.4,2019
12,몽골,735.0,0.0,2019
13,필리핀,159966.0,3.0,2019
14,러시아,210962.0,4.0,2019
15,싱가포르,71551.0,1.4,2019
16,베트남,94546.0,1.8,2019
17,태국,494319.0,9.4,2019
18,터키,13049.0,0.2,2019
19,영국,38197.0,0.7,2019
20,미국,193238.0,3.7,2019
21,기타,656892.0,12.4,2019
