기준년월,광역지자체,중분류,,지출액,전년도 지출액
202101,부산광역시,총소비,0000,2684265.0,2.8535043E7
202101,부산광역시,호텔,1001,299367.0,2065083.0
202101,부산광역시,콘도,1002,231.0,1188.0
202101,부산광역시,캠핑장/펜션,1003,0.0,60.0
202101,부산광역시,기타숙박,1004,120682.0,909459.0
202101,부산광역시,여행업,2001,0.0,907.0
202101,부산광역시,육상운송,3001,0.0,2816.0
202101,부산광역시,수상운송,3002,11.0,6208.0
202101,부산광역시,항공운송,3003,1189.0,50038.0
202101,부산광역시,렌터카,3004,5308.0,27460.0
202101,부산광역시,면세점,4001,19831.0,2873902.0
202101,부산광역시,관광기념품,4002,656.0,340621.0
202101,부산광역시,레저용품쇼핑,4003,27915.0,231991.0
202101,부산광역시,대형쇼핑몰,4004,1808425.0,8148172.0
202101,부산광역시,카지노,5001,28000.0,1.1536673E7
202101,부산광역시,관광유원시설,5002,5259.0,80026.0
202101,부산광역시,골프장,5003,25794.0,15949.0
202101,부산광역시,기타레저,5005,74.0,176.0
202101,부산광역시,문화서비스,5006,1219.0,3950.0
202101,부산광역시,식음료,6001,340303.0,2240365.0
202102,부산광역시,총소비,0000,2960571.0,1.7760985E7
202102,부산광역시,호텔,1001,404259.0,1377912.0
202102,부산광역시,콘도,1002,346.0,605.0
202102,부산광역시,캠핑장/펜션,1003,0.0,210.0
202102,부산광역시,기타숙박,1004,166267.0,523020.0
202102,부산광역시,여행업,2001,0.0,3828.0
202102,부산광역시,육상운송,3001,0.0,821.0
202102,부산광역시,수상운송,3002,55.0,4850.0
202102,부산광역시,항공운송,3003,368.0,24165.0
202102,부산광역시,렌터카,3004,3150.0,20944.0
202102,부산광역시,면세점,4001,14792.0,1588192.0
202102,부산광역시,관광기념품,4002,2736.0,169582.0
202102,부산광역시,레저용품쇼핑,4003,24255.0,162506.0
202102,부산광역시,대형쇼핑몰,4004,1731235.0,4420927.0
202102,부산광역시,카지노,5001,97800.0,7999300.0
202102,부산광역시,관광유원시설,5002,12069.0,37037.0
202102,부산광역시,골프장,5003,18533.0,11815.0
202102,부산광역시,기타레저,5005,64.0,73.0
202102,부산광역시,문화서비스,5006,896.0,2584.0
202102,부산광역시,식음료,6001,483747.0,1412614.0
202103,부산광역시,총소비,0000,3911107.0,2034720.0
202103,부산광역시,호텔,1001,545525.0,215007.0
202103,부산광역시,콘도,1002,573.0,542.0
202103,부산광역시,기타숙박,1004,276019.0,94260.0
202103,부산광역시,여행업,2001,926.0,0.0
202103,부산광역시,육상운송,3001,334.0,0.0
202103,부산광역시,수상운송,3002,33.0,200.0
202103,부산광역시,항공운송,3003,126.0,3129.0
202103,부산광역시,렌터카,3004,4131.0,1612.0
202103,부산광역시,면세점,4001,19511.0,99108.0
202103,부산광역시,관광기념품,4002,5513.0,760.0
202103,부산광역시,레저용품쇼핑,4003,26651.0,18894.0
202103,부산광역시,대형쇼핑몰,4004,2267739.0,1052667.0
202103,부산광역시,카지노,5001,59800.0,224810.0
202103,부산광역시,관광유원시설,5002,36289.0,1179.0
202103,부산광역시,골프장,5003,18590.0,6109.0
202103,부산광역시,기타레저,5005,32.0,0.0
202103,부산광역시,문화서비스,5006,1917.0,706.0
202103,부산광역시,식음료,6001,647398.0,315738.0
202104,부산광역시,총소비,0000,3555503.0,1766738.0
202104,부산광역시,호텔,1001,569827.0,209151.0
202104,부산광역시,콘도,1002,470.0,272.0
202104,부산광역시,캠핑장/펜션,1003,100.0,0.0
202104,부산광역시,기타숙박,1004,191722.0,35028.0
202104,부산광역시,여행업,2001,0.0,1310.0
202104,부산광역시,육상운송,3001,369.0,0.0
202104,부산광역시,수상운송,3002,55.0,0.0
202104,부산광역시,항공운송,3003,54.0,0.0
202104,부산광역시,렌터카,3004,4120.0,1823.0
202104,부산광역시,면세점,4001,16788.0,415.0
202104,부산광역시,관광기념품,4002,7965.0,188.0
202104,부산광역시,레저용품쇼핑,4003,36827.0,25229.0
202104,부산광역시,대형쇼핑몰,4004,2085431.0,1029294.0
202104,부산광역시,카지노,5001,9900.0,0.0
202104,부산광역시,관광유원시설,5002,28093.0,1631.0
202104,부산광역시,골프장,5003,20839.0,19555.0
202104,부산광역시,기타레저,5005,106.0,16.0
202104,부산광역시,문화서비스,5006,1822.0,652.0
202104,부산광역시,식음료,6001,581014.0,442173.0
202105,부산광역시,총소비,0000,5058579.0,3147174.0
202105,부산광역시,호텔,1001,712253.0,421582.0
202105,부산광역시,콘도,1002,326.0,516.0
202105,부산광역시,캠핑장/펜션,1003,0.0,40.0
202105,부산광역시,기타숙박,1004,337595.0,89183.0
202105,부산광역시,여행업,2001,0.0,450.0
202105,부산광역시,육상운송,3001,593.0,195.0
202105,부산광역시,수상운송,3002,283.0,22.0
