,국가명,국가별 방문자 수,국가별 방문자 비율,연도
0,호주,6485.0,1.0,2022
1,캐나다,9720.0,1.5,2022
2,중국,67095.0,10.4,2022
3,대만,2558.0,0.4,2022
4,프랑스,9060.0,1.4,2022
5,독일,7862.0,1.2,2022
6,홍콩,13823.0,2.1,2022
7,인도,2055.0,0.3,2022
8,인도네시아,17678.0,2.7,2022
9,일본,32244.0,5.0,2022
10,카자흐스탄,577.0,0.1,2022
11,말레이시아,3511.0,0.5,2022
12,몽골,129.0,0.0,2022
13,필리핀,21974.0,3.4,2022
14,러시아,32753.0,5.1,2022
15,싱가포르,7826.0,1.2,2022
16,베트남,11032.0,1.7,2022
17,태국,49929.0,7.7,2022
18,터키,2003.0,0.3,2022
19,영국,12705.0,2.0,2022
20,미국,129411.0,20.0,2022
21,기타,206501.0,31.9,2022
