기준년월,광역지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,부산광역시,현지인방문자(a),3.8855148E7,3.7569497E7
201901,부산광역시,외지인방문자(b),1.1674128E7,1.1834204E7
201901,부산광역시,외국인방문자(c),294616.0,174910.0
201901,부산광역시,외부방문자(b+c),1.1968743E7,1.2009113E7
201901,부산광역시,전체방문자(a+b+c),5.0823892E7,4.957861E7
201902,부산광역시,현지인방문자(a),3.4681612E7,3.4097878E7
201902,부산광역시,외지인방문자(b),1.2876465E7,1.2335218E7
201902,부산광역시,외국인방문자(c),312050.0,205153.0
201902,부산광역시,외부방문자(b+c),1.3188515E7,1.2540371E7
201902,부산광역시,전체방문자(a+b+c),4.7870127E7,4.6638249E7
201903,부산광역시,현지인방문자(a),3.9710478E7,3.9155039E7
201903,부산광역시,외지인방문자(b),1.4100188E7,1.3231071E7
201903,부산광역시,외국인방문자(c),400192.0,269389.0
201903,부산광역시,외부방문자(b+c),1.4500379E7,1.350046E7
201903,부산광역시,전체방문자(a+b+c),5.4210858E7,5.2655499E7
201904,부산광역시,현지인방문자(a),3.6381838E7,3.652376E7
201904,부산광역시,외지인방문자(b),1.0284054E7,1.0565821E7
201904,부산광역시,외국인방문자(c),504583.0,318152.0
201904,부산광역시,외부방문자(b+c),1.0788637E7,1.0883973E7
201904,부산광역시,전체방문자(a+b+c),4.7170475E7,4.7407733E7
201905,부산광역시,현지인방문자(a),3.9926246E7,4.0974566E7
201905,부산광역시,외지인방문자(b),1.2990982E7,1.2189331E7
201905,부산광역시,외국인방문자(c),467262.0,317102.0
201905,부산광역시,외부방문자(b+c),1.3458243E7,1.2506433E7
201905,부산광역시,전체방문자(a+b+c),5.338449E7,5.3480999E7
201906,부산광역시,현지인방문자(a),3.8926016E7,3.951709E7
201906,부산광역시,외지인방문자(b),1.1056896E7,1.1135456E7
201906,부산광역시,외국인방문자(c),439977.0,307320.0
201906,부산광역시,외부방문자(b+c),1.1496873E7,1.1442776E7
201906,부산광역시,전체방문자(a+b+c),5.0422889E7,5.0959866E7
201907,부산광역시,현지인방문자(a),4.092689E7,4.0252884E7
201907,부산광역시,외지인방문자(b),1.3210617E7,1.2254676E7
201907,부산광역시,외국인방문자(c),436473.0,346683.0
201907,부산광역시,외부방문자(b+c),1.364709E7,1.2601359E7
201907,부산광역시,전체방문자(a+b+c),5.4573979E7,5.2854243E7
201908,부산광역시,현지인방문자(a),3.8924067E7,4.0615936E7
201908,부산광역시,외지인방문자(b),1.3473968E7,1.3347096E7
201908,부산광역시,외국인방문자(c),470346.0,383917.0
201908,부산광역시,외부방문자(b+c),1.3944314E7,1.3731013E7
201908,부산광역시,전체방문자(a+b+c),5.2868381E7,5.4346948E7
201909,부산광역시,현지인방문자(a),3.934363E7,3.930472E7
201909,부산광역시,외지인방문자(b),1.33649E7,1.3931208E7
201909,부산광역시,외국인방문자(c),468581.0,383191.0
201909,부산광역시,외부방문자(b+c),1.3833482E7,1.4314398E7
201909,부산광역시,전체방문자(a+b+c),5.3177111E7,5.3619118E7
201910,부산광역시,현지인방문자(a),4.1201734E7,4.007319E7
201910,부산광역시,외지인방문자(b),1.1671233E7,1.1554078E7
201910,부산광역시,외국인방문자(c),547140.0,502394.0
201910,부산광역시,외부방문자(b+c),1.2218373E7,1.2056471E7
201910,부산광역시,전체방문자(a+b+c),5.3420107E7,5.2129662E7
201911,부산광역시,현지인방문자(a),4.0658916E7,3.7486246E7
201911,부산광역시,외지인방문자(b),1.1774396E7,1.1011714E7
201911,부산광역시,외국인방문자(c),460266.0,379224.0
201911,부산광역시,외부방문자(b+c),1.2234661E7,1.1390938E7
201911,부산광역시,전체방문자(a+b+c),5.2893577E7,4.8877184E7
201912,부산광역시,현지인방문자(a),4.2756136E7,3.9516754E7
201912,부산광역시,외지인방문자(b),1.319431E7,1.2327728E7
201912,부산광역시,외국인방문자(c),482928.0,323465.0
201912,부산광역시,외부방문자(b+c),1.3677238E7,1.2651193E7
201912,부산광역시,전체방문자(a+b+c),5.6433375E7,5.2167947E7
