대분류,중분류,대분류 지출액,대분류 지출액 비율,중분류 지출액,중분류 지출액 비율
쇼핑업,관광기념품,3.2879495E7,60.0,73985.0,0.2
쇼핑업,대형쇼핑몰,3.2879495E7,60.0,3.1903685E7,97.0
쇼핑업,레저용품쇼핑,3.2879495E7,60.0,434995.0,1.3
쇼핑업,면세점,3.2879495E7,60.0,466831.0,1.4
숙박업,기타숙박,1.1472304E7,20.9,3465296.0,30.2
숙박업,캠핑장/펜션,1.1472304E7,20.9,314.0,0.0
숙박업,콘도,1.1472304E7,20.9,5639.0,0.0
숙박업,호텔,1.1472304E7,20.9,8001055.0,69.7
식음료업,식음료,9114814.0,16.6,9114814.0,100.0
여가서비스업,골프장,1233153.0,2.2,243368.0,19.7
여가서비스업,관광유원시설,1233153.0,2.2,311273.0,25.2
여가서비스업,기타레저,1233153.0,2.2,562.0,0.0
여가서비스업,문화서비스,1233153.0,2.2,31450.0,2.6
여가서비스업,카지노,1233153.0,2.2,646500.0,52.4
여행업,여행업,1989.0,0.0,1989.0,100.0
운송업,렌터카,141387.0,0.3,103447.0,73.2
운송업,수상운송,141387.0,0.3,1070.0,0.8
운송업,육상운송,141387.0,0.3,23525.0,16.6
운송업,항공운송,141387.0,0.3,13344.0,9.4
